Messstelle:                ;St. Michael im Lungau
HZB-Nummer:                ;203752
HD-Nummer:                 ;
DBMS-Nummer:               ;5001070
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;289,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01041,75
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1881              ;473080,00 - 217160,00
Exportzeitreihe:           ;(5001070,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1961 12:00,01.01.2022 00:00]
Werte:
31.07.2005 11:00:00;  5,25
14.08.2005 15:30:00;  4,50
16.09.2005 05:45:00;  3,69
31.10.2005 09:15:00;  3,72
27.11.2005 21:30:00;  2,56
30.12.2005 19:00:00;  1,32
16.01.2006 09:45:00; 0,890
12.02.2006 07:30:00; 0,969
13.03.2006 03:30:00; 0,674
08.04.2006 05:30:00;  3,01
08.05.2006 06:45:00;  6,82
10.06.2006 11:30:00;  5,89
30.07.2006 23:45:00;  4,23
02.08.2006 15:15:00; 0,900
15.09.2006 08:00:00;  3,17
29.10.2006 04:45:00;  3,34
29.11.2006 09:45:00;  3,17
20.12.2006 09:00:00;  1,99
16.01.2007 06:06:00;  1,83
19.02.2007 08:08:30;  1,83
22.03.2007 07:45:00;  2,06
05.04.2007 11:30:00;  2,57
20.05.2007 12:05:10;  4,67
18.06.2007 07:25:50;  3,56
31.07.2007 08:00:00;  4,44
13.08.2007 23:45:00;  3,72
03.09.2007 04:15:00;  4,44
22.10.2007 02:30:00;  3,72
17.11.2007 03:30:00;  3,07
26.12.2007 10:30:00;  2,22
02.01.2008 23:15:00;  2,10
13.02.2008 08:32:05;  1,51
06.03.2008 09:50:55;  2,17
06.04.2008 09:30:00;  2,33
03.05.2008 07:30:00;  4,52
29.06.2008 08:45:00;  5,67
11.07.2008 08:15:00;  4,05
13.08.2008 07:30:00;  4,23
27.09.2008 12:45:00;  3,17
01.10.2008 19:30:00;  3,01
28.11.2008 08:00:00;  3,01
30.12.2008 10:15:00;  1,99
11.01.2009 06:00:00;  1,62
19.02.2009 06:45:00;  1,62
01.03.2009 02:45:00;  2,26
01.04.2009 04:15:00;  3,17
01.05.2009 14:45:00;  8,07
14.06.2009 07:15:00;  8,60
30.07.2009 04:15:00;  5,65
28.08.2009 10:00:00;  3,89
02.09.2009 09:45:00;  3,89
09.10.2009 08:30:00;  3,89
30.11.2009 13:45:00;  2,77
21.12.2009 09:15:00;  2,22
21.01.2010 08:15:00;  2,27
01.02.2010 09:45:00;  2,13
08.03.2010 08:30:00;  2,00
07.04.2010 09:00:00;  3,87
21.05.2010 20:00:00;  5,62
27.06.2010 16:00:00;  6,72
28.07.2010 08:15:00;  4,61
22.08.2010 01:30:00;  4,23
14.09.2010 18:45:00;  4,05
19.10.2010 10:00:00;  3,35
30.11.2010 09:15:00;  3,35
19.12.2010 10:00:00;  2,27
04.01.2011 07:30:00;  2,41
24.02.2011 08:30:00;  2,00
08.03.2011 09:15:00;  2,13
01.04.2011 09:30:00;  3,02
05.05.2011 15:30:00;  3,52
03.06.2011 04:30:00;  5,00
17.07.2011 23:30:00;  4,40
25.08.2011 10:30:00;  3,82
18.09.2011 11:15:00;  3,02
02.10.2011 13:00:00;  3,52
25.11.2011 15:15:00;  2,56
20.12.2011 08:45:00;  1,74
16.01.2012 09:30:00;  1,74
06.02.2012 08:08:10;  1,66
11.03.2012 14:30:00;  3,18
25.04.2012 12:00:00;  3,69
19.05.2012 13:45:00;  7,19
30.06.2012 22:00:00;  6,96
01.07.2012 17:15:00;  6,72
17.08.2012 19:30:00;  5,01
29.09.2012 04:30:00;  6,72
08.10.2012 17:00:00;  5,62
25.11.2012 19:00:00;  5,84
20.12.2012 10:00:00;  4,23
26.01.2013 11:15:00;  3,35
10.02.2013 09:00:00;  2,86
04.03.2013 07:45:00;  3,18
04.04.2013 15:45:00;  3,18
28.05.2013 13:30:00;  8,67
29.06.2013 00:15:00;  8,67
22.07.2013 19:30:00;  4,23
19.08.2013 10:30:00;  3,02
06.09.2013 16:45:00;  2,86
07.10.2013 20:15:00;  2,86
25.11.2013 22:45:00;  4,42
23.12.2013 23:30:00;  3,02
03.01.2014 00:15:00;  2,86
24.02.2014 20:15:00;  3,38
03.03.2014 13:45:00;  3,21
17.04.2014 12:45:00;  5,71
18.05.2014 07:15:00;  8,79
02.06.2014 15:45:00;  9,24
24.07.2014 07:45:00;  5,84
31.08.2014 12:00:00;  5,33
21.09.2014 08:15:00;  5,13
20.10.2014 16:45:00;  3,06
