Messstelle:                ;Lustenau (Hofsteig)
HZB-Nummer:                ;200220
HD-Nummer:                 ;
DBMS-Nummer:               ;8001022
Gewässer:                  ;Rheintalbinnenkanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;78,51
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00400,50
   01.01.1986              ;00399,60
   01.01.1996              ;00399,56
   14.10.2014              ;00399,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1949              ;101964,00 - 255286,00
Exportzeitreihe:           ;(8001022,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
20.04.2013 00:45:00;  10,0
31.05.2013 23:59:55;  24,3
02.06.2013 07:10:00;  56,6
03.07.2013 21:30:00;  5,61
28.08.2013 10:00:00;  12,3
19.09.2013 08:30:00;  11,2
16.10.2013 05:35:00;  10,9
11.11.2013 02:15:00;  7,70
26.12.2013 23:20:00;  3,38
14.01.2014 21:00:00;  5,77
14.02.2014 03:15:00;  1,69
23.03.2014 15:00:00;  5,86
30.04.2014 19:15:00;  4,04
03.05.2014 05:15:00;  14,2
29.06.2014 21:05:00;  6,50
26.07.2014 22:40:00;  27,2
31.08.2014 22:50:00;  17,1
01.09.2014 06:20:00;  31,7
22.10.2014 01:35:00;  5,87
06.11.2014 04:25:00;  6,42
19.12.2014 00:00:00;  11,8
04.01.2015 05:55:00;  15,2
24.02.2015 02:30:00;  3,69
02.03.2015 16:15:00;  13,0
17.04.2015 23:25:00;  11,1
26.05.2015 12:45:00;  35,6
23.06.2015 04:40:00;  16,1
25.07.2015 00:20:00;  6,85
19.08.2015 05:35:00;  5,56
23.09.2015 08:45:00;  7,60
14.10.2015 04:15:00;  6,80
21.11.2015 04:50:00;  12,1
17.12.2015 03:45:00;  8,07
31.01.2016 12:10:00;  12,2
01.02.2016 00:00:00;  9,64
05.03.2016 19:50:00;  9,34
18.04.2016 21:40:00;  19,1
14.05.2016 11:35:00;  44,9
17.06.2016 06:50:00;  31,5
15.07.2016 09:50:00;  11,7
05.08.2016 15:50:00;  23,7
19.09.2016 12:55:00;  13,8
26.10.2016 09:40:00;  3,25
11.11.2016 10:00:00;  8,68
01.12.2016 00:00:00; 0,688
31.01.2017 23:59:55;  11,6
01.02.2017 01:00:00;  11,7
09.03.2017 19:40:00;  18,9
28.04.2017 17:05:00;  14,2
09.05.2017 03:05:00;  18,3
01.06.2017 09:35:00;  7,78
26.07.2017 14:15:00;  17,5
31.08.2017 23:59:55;  23,7
01.09.2017 08:55:00;  40,5
03.10.2017 13:40:00;  13,8
12.11.2017 21:25:00;  15,1
15.12.2017 04:55:00;  24,3
22.01.2018 19:25:00;  17,3
16.02.2018 11:35:00;  15,4
31.03.2018 04:50:00;  6,88
01.04.2018 00:00:00;  3,15
15.05.2018 00:15:00;  7,45
13.06.2018 12:55:00;  11,2
16.07.2018 00:45:00;  1,29
24.08.2018 23:15:00;  5,64
01.09.2018 10:40:00;  5,59
02.10.2018 03:55:00;  7,93
27.11.2018 09:30:00; 0,701
24.12.2018 13:15:00;  14,7
14.01.2019 09:25:00;  14,5
10.02.2019 22:55:00;  6,86
15.03.2019 16:15:00;  7,45
26.04.2019 15:45:00;  3,07
21.05.2019 12:25:00;  34,7
