Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
20.06.2013 18:00:00;    75
27.07.2013 18:30:00;   105
25.08.2013 12:45:00;   103
04.09.2013 10:45:00;   104
03.10.2013 12:45:00;   107
20.11.2013 16:30:00;   106
20.12.2013 19:45:00;   111
09.01.2014 22:30:00;   108
26.02.2014 16:30:00;   113
02.03.2014 15:30:00;   106
26.04.2014 14:30:00;   106
02.05.2014 02:45:00;   109
23.06.2014 18:15:00;   109
21.07.2014 23:15:00;   107
25.08.2014 08:15:00;   114
09.09.2014 00:45:00;   119
11.10.2014 12:15:00;   119
24.11.2014 20:45:00;   127
03.12.2014 17:30:00;   123
01.01.2015 01:00:00;   130
20.02.2015 14:00:00;   128
26.03.2015 01:15:00;   130
22.04.2015 16:00:00;   121
18.05.2015 16:15:00;   123
30.06.2015 23:30:00;   128
08.07.2015 05:45:00;   120
28.08.2015 10:45:00;   115
09.09.2015 17:30:00;   118
06.10.2015 19:30:00;   113
01.11.2015 15:45:00;   117
30.12.2015 19:00:00;   119
04.01.2016 13:00:00;   120
19.02.2016 12:00:00;   128
31.03.2016 16:15:00;   127
03.04.2016 10:15:00;   120
01.05.2016 12:00:00;   124
24.06.2016 22:30:00;   127
10.07.2016 08:30:00;   125
30.08.2016 08:45:00;   123
11.09.2016 12:45:00;   122
01.10.2016 11:30:00;   119
04.11.2016 20:00:00;   125
23.12.2016 11:00:00;   120
01.01.2017 10:30:00;   121
13.02.2017 08:15:00;   127
17.03.2017 18:15:00;   129
