Messstelle:                ;Oberlaa
HZB-Nummer:                ;209353
HD-Nummer:                 ;W3
DBMS-Nummer:               ;9001003
Gewässer:                  ;Liesing
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;101,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00171,68
   01.01.2005              ;00171,48
   16.05.2018              ;00171,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;755323,29 - 333042,85
Exportzeitreihe:           ;(9001003,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:30,01.01.2022 00:00]
Werte:
21.08.2016 08:50:00;   190
06.09.2016 09:30:00;   113
04.10.2016 14:50:00;   120
06.11.2016 20:20:00;   107
28.12.2016 07:05:00;   109
13.01.2017 09:40:00;    59
06.02.2017 08:55:00;   123
19.03.2017 12:15:00;   124
21.04.2017 20:25:00;   106
24.05.2017 13:25:00;   171
03.06.2017 18:45:00;   103
10.07.2017 16:25:00;   319
10.08.2017 23:00:00;   187
20.09.2017 02:25:00;   190
29.10.2017 12:35:00;   147
21.11.2017 07:40:00;    81
28.12.2017 22:20:00;    92
05.01.2018 03:55:00;   140
16.02.2018 10:05:00;    57
31.03.2018 23:59:55;   111
01.04.2018 00:20:00;   116
02.05.2018 22:30:00;   350
06.06.2018 17:05:00;   183
26.07.2018 19:10:00;   286
26.08.2018 04:55:00;    90
01.09.2018 08:40:00;   239
24.10.2018 11:40:00;   238
26.11.2018 12:30:00;   105
24.12.2018 09:15:00;   247
14.01.2019 06:50:00;   130
22.02.2019 06:50:00;    91
16.03.2019 11:25:00;   123
30.04.2019 14:10:00;   135
11.05.2019 23:20:00;   172
07.06.2019 01:15:00;   249
28.07.2019 22:15:00;   159
29.08.2019 23:05:00;   199
09.09.2019 02:30:00;   154
02.10.2019 12:35:00;    92
05.11.2019 12:05:00;   125
23.12.2019 12:45:00;   137
05.01.2020 02:05:00;    78
03.02.2020 08:50:00;    96
