Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
16.08.2008 18:24:05;    95
26.09.2008 12:52:45;    87
01.10.2008 22:51:50;    76
21.11.2008 19:47:25;    75
23.12.2008 07:17:10;    78
01.01.2009 00:00:00;    68
22.02.2009 06:25:00;    78
31.03.2009 09:50:10;    75
10.04.2009 02:57:00;   108
07.05.2009 12:55:25;    98
24.06.2009 12:25:20;   124
01.07.2009 00:00:00;   103
05.08.2009 05:00:50;    90
05.09.2009 13:01:35;    81
24.10.2009 18:44:00;    85
01.11.2009 00:00:00;    73
26.12.2009 03:11:45;    77
01.01.2010 00:00:00;    68
27.02.2010 22:39:30;    66
27.03.2010 11:34:55;    93
26.04.2010 01:30:00;    85
22.05.2010 10:00:00;    99
03.06.2010 02:45:00;   114
25.07.2010 07:45:00;    92
31.08.2010 23:59:55;   120
01.09.2010 03:15:00;   123
16.10.2010 00:30:00;    76
01.11.2010 19:45:00;    72
10.12.2010 11:00:00;    74
14.01.2011 20:30:00;   124
12.02.2011 22:30:00;    84
18.03.2011 20:30:00;    84
02.04.2011 19:30:00;    82
29.05.2011 02:15:00;    76
09.06.2011 19:45:00;    77
25.07.2011 10:00:00;    93
05.08.2011 00:00:00;    84
20.09.2011 23:30:00;    86
11.10.2011 14:45:00;   103
01.11.2011 01:15:00;    68
25.12.2011 02:15:00;    66
20.01.2012 14:00:00;    89
29.02.2012 20:30:00;    80
30.03.2012 18:45:00;   100
30.04.2012 01:00:00;    97
01.05.2012 05:30:00;    94
23.06.2012 20:45:00;    88
21.07.2012 15:30:00;    97
04.08.2012 23:45:00;    77
14.09.2012 07:15:00;    87
13.10.2012 15:00:00;    70
17.11.2012 02:45:00;    75
24.12.2012 14:45:00;    93
05.01.2013 23:15:00;   120
01.02.2013 00:00:00;    90
10.03.2013 10:45:00;    81
20.04.2013 00:00:00;   105
01.05.2013 07:00:00;    90
25.06.2013 22:30:00;   113
01.07.2013 09:15:00;    76
29.08.2013 11:30:00;    77
19.09.2013 06:45:00;    96
28.10.2013 09:15:00;    78
08.11.2013 04:30:00;    83
28.12.2013 16:00:00;    75
11.01.2014 11:15:00;    74
09.02.2014 16:00:00;    71
18.03.2014 03:45:00;    83
20.04.2014 15:45:00;    91
16.05.2014 15:15:00;   135
01.06.2014 06:15:00;    88
31.07.2014 23:15:00;    89
01.08.2014 01:45:00;    90
27.09.2014 13:45:00;    92
24.10.2014 08:15:00;   104
