Messstelle:                ;Woppendorf
HZB-Nummer:                ;210237
HD-Nummer:                 ;
DBMS-Nummer:               ;1001021
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;416,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00242,00
   01.01.1984              ;00242,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;754550,00 - 229400,00
   03.02.2012              ;754510,00 - 229404,00
   05.10.2018              ;754500,17 - 229420,08
Exportzeitreihe:           ;(1001021,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
27.05.1977 00:00:00;   255
28.05.1977 00:00:00;   256
29.05.1977 00:00:00;   258
30.05.1977 00:00:00;   259
31.05.1977 00:00:00;   256
01.06.1977 00:00:00;   254
02.06.1977 00:00:00;   253
03.06.1977 00:00:00;   257
04.06.1977 00:00:00;   257
05.06.1977 00:00:00;   262
06.06.1977 00:00:00;   266
07.06.1977 00:00:00;   271
08.06.1977 00:00:00;   268
09.06.1977 00:00:00;   262
10.06.1977 00:00:00;   259
11.06.1977 00:00:00;   254
12.06.1977 00:00:00;   253
13.06.1977 00:00:00;   255
14.06.1977 00:00:00;   256
15.06.1977 00:00:00;   262
16.06.1977 00:00:00;   263
17.06.1977 00:00:00;   258
18.06.1977 00:00:00;   257
19.06.1977 00:00:00;   265
20.06.1977 00:00:00;   272
21.06.1977 00:00:00;   273
22.06.1977 00:00:00;   317
23.06.1977 00:00:00;   292
24.06.1977 00:00:00;   271
25.06.1977 00:00:00;   267
26.06.1977 00:00:00;   264
27.06.1977 00:00:00;   261
28.06.1977 00:00:00;   259
29.06.1977 00:00:00;   261
30.06.1977 00:00:00;   266
01.07.1977 00:00:00;   304
02.07.1977 00:00:00;   289
03.07.1977 00:00:00;   276
04.07.1977 00:00:00;   271
05.07.1977 00:00:00;   271
06.07.1977 00:00:00;   268
07.07.1977 00:00:00;   267
08.07.1977 00:00:00;   272
09.07.1977 00:00:00;   280
10.07.1977 00:00:00;   274
11.07.1977 00:00:00;   272
12.07.1977 00:00:00;   268
13.07.1977 00:00:00;   264
14.07.1977 00:00:00;   267
15.07.1977 00:00:00;   266
16.07.1977 00:00:00;   271
17.07.1977 00:00:00;   273
18.07.1977 00:00:00;   269
19.07.1977 00:00:00;   267
20.07.1977 00:00:00;   267
21.07.1977 00:00:00;   262
22.07.1977 00:00:00;   261
23.07.1977 00:00:00;   266
24.07.1977 00:00:00;   267
25.07.1977 00:00:00;   266
26.07.1977 00:00:00;   271
27.07.1977 00:00:00;   273
28.07.1977 00:00:00;   270
29.07.1977 00:00:00;   265
30.07.1977 00:00:00;   267
31.07.1977 00:00:00;   270
01.08.1977 00:00:00;   267
02.08.1977 00:00:00;   263
03.08.1977 00:00:00;   263
04.08.1977 00:00:00;   262
05.08.1977 00:00:00;   265
06.08.1977 00:00:00;   264
07.08.1977 00:00:00;   263
08.08.1977 00:00:00;   266
09.08.1977 00:00:00;   260
10.08.1977 00:00:00;   257
11.08.1977 00:00:00;   254
12.08.1977 00:00:00;   255
13.08.1977 00:00:00;   257
14.08.1977 00:00:00;   257
15.08.1977 00:00:00;   260
16.08.1977 00:00:00;   261
17.08.1977 00:00:00;   260
18.08.1977 00:00:00;   259
19.08.1977 00:00:00;   261
20.08.1977 00:00:00;   266
21.08.1977 00:00:00;   267
22.08.1977 00:00:00;   261
23.08.1977 00:00:00;   258
24.08.1977 00:00:00;   257
25.08.1977 00:00:00;   259
26.08.1977 00:00:00;   257
27.08.1977 00:00:00;   255
28.08.1977 00:00:00;   257
29.08.1977 00:00:00;   261
30.08.1977 00:00:00;   259
31.08.1977 00:00:00;   256
01.09.1977 00:00:00;   261
02.09.1977 00:00:00;   259
03.09.1977 00:00:00;   256
04.09.1977 00:00:00;   254
05.09.1977 00:00:00;   253
06.09.1977 00:00:00;   258
07.09.1977 00:00:00;   259
08.09.1977 00:00:00;   255
09.09.1977 00:00:00;   259
10.09.1977 00:00:00;   266
11.09.1977 00:00:00;   258
12.09.1977 00:00:00;   251
13.09.1977 00:00:00;   255
14.09.1977 00:00:00;   258
15.09.1977 00:00:00;   261
16.09.1977 00:00:00;   265
17.09.1977 00:00:00;   263
18.09.1977 00:00:00;   258
19.09.1977 00:00:00;   257
20.09.1977 00:00:00;   260
21.09.1977 00:00:00;   261
22.09.1977 00:00:00;   260
23.09.1977 00:00:00;   258
24.09.1977 00:00:00;   255
25.09.1977 00:00:00;   253
26.09.1977 00:00:00;   255
27.09.1977 00:00:00;   259
28.09.1977 00:00:00;   257
29.09.1977 00:00:00;   255
30.09.1977 00:00:00;   256
01.10.1977 00:00:00;   255
02.10.1977 00:00:00;   257
03.10.1977 00:00:00;   259
04.10.1977 00:00:00;   259
05.10.1977 00:00:00;   261
06.10.1977 00:00:00;   259
07.10.1977 00:00:00;   256
08.10.1977 00:00:00;   255
09.10.1977 00:00:00;   258
10.10.1977 00:00:00;   258
11.10.1977 00:00:00;   252
12.10.1977 00:00:00;   251
13.10.1977 00:00:00;   253
14.10.1977 00:00:00;   253
15.10.1977 00:00:00;   258
16.10.1977 00:00:00;   259
17.10.1977 00:00:00;   253
18.10.1977 00:00:00;   251
19.10.1977 00:00:00;   253
20.10.1977 00:00:00;   256
21.10.1977 00:00:00;   257
22.10.1977 00:00:00;   253
23.10.1977 00:00:00;   249
24.10.1977 00:00:00;   251
25.10.1977 00:00:00;   256
26.10.1977 00:00:00;   258
27.10.1977 00:00:00;   259
28.10.1977 00:00:00;   256
29.10.1977 00:00:00;   255
30.10.1977 00:00:00;   255
31.10.1977 00:00:00;   250
01.11.1977 00:00:00;   249
02.11.1977 00:00:00;   251
03.11.1977 00:00:00;   255
04.11.1977 00:00:00;   254
05.11.1977 00:00:00;   253
06.11.1977 00:00:00;   257
07.11.1977 00:00:00;   255
08.11.1977 00:00:00;   251
09.11.1977 00:00:00;   254
10.11.1977 00:00:00;   259
11.11.1977 00:00:00;   257
12.11.1977 00:00:00;   257
13.11.1977 00:00:00;   255
14.11.1977 00:00:00;   251
15.11.1977 00:00:00;   254
16.11.1977 00:00:00;   255
17.11.1977 00:00:00;   254
18.11.1977 00:00:00;   253
19.11.1977 00:00:00;   258
20.11.1977 00:00:00;   259
21.11.1977 00:00:00;   255
