Messstelle:                ;Purkersdorf
HZB-Nummer:                ;209627
HD-Nummer:                 ;no395
DBMS-Nummer:               ;3001178
Gewässer:                  ;Gablitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;23
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1989              ;00240,00
   01.01.2005              ;00245,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;738253,00 - 341549,00
Exportzeitreihe:           ;(3001178,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1989 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
06.10.1990 00:00:00;   121
07.10.1990 00:00:00;   121
08.10.1990 00:00:00;   123
09.10.1990 00:00:00;   120
10.10.1990 00:00:00;   120
11.10.1990 00:00:00;   121
12.10.1990 00:00:00;   121
13.10.1990 00:00:00;   121
14.10.1990 00:00:00;   121
15.10.1990 00:00:00;   121
16.10.1990 00:00:00;   121
17.10.1990 00:00:00;   120
18.10.1990 00:00:00;   120
19.10.1990 00:00:00;   120
20.10.1990 00:00:00;   119
21.10.1990 00:00:00;   120
22.10.1990 00:00:00;   120
23.10.1990 00:00:00;   120
24.10.1990 00:00:00;   121
25.10.1990 00:00:00;   121
26.10.1990 00:00:00;   122
27.10.1990 00:00:00;   123
28.10.1990 00:00:00;   121
29.10.1990 00:00:00;   118
30.10.1990 00:00:00;   119
31.10.1990 00:00:00;   119
01.11.1990 00:00:00;   119
02.11.1990 00:00:00;   119
03.11.1990 00:00:00;   120
04.11.1990 00:00:00;   121
05.11.1990 00:00:00;   120
06.11.1990 00:00:00;   119
07.11.1990 00:00:00;   119
08.11.1990 00:00:00;   119
09.11.1990 00:00:00;   119
10.11.1990 00:00:00;   120
11.11.1990 00:00:00;   120
12.11.1990 00:00:00;   121
13.11.1990 00:00:00;   123
14.11.1990 00:00:00;   122
15.11.1990 00:00:00;   122
16.11.1990 00:00:00;   124
17.11.1990 00:00:00;   122
18.11.1990 00:00:00;   122
19.11.1990 00:00:00;   123
20.11.1990 00:00:00;   122
21.11.1990 00:00:00;   123
22.11.1990 00:00:00;   122
23.11.1990 00:00:00;   122
24.11.1990 00:00:00;   120
25.11.1990 00:00:00;   120
26.11.1990 00:00:00;   121
27.11.1990 00:00:00;   123
28.11.1990 00:00:00;   124
29.11.1990 00:00:00;   124
30.11.1990 00:00:00;   124
01.12.1990 00:00:00;   124
02.12.1990 00:00:00;   122
03.12.1990 00:00:00;   123
04.12.1990 00:00:00;   121
05.12.1990 00:00:00;   120
06.12.1990 00:00:00;   120
