Messstelle:                ;Töbring
HZB-Nummer:                ;213116
HD-Nummer:                 ;00337
DBMS-Nummer:               ;2001067
Gewässer:                  ;Treffner Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;140,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1973              ;00514,52
   02.10.1996              ;00512,52
   07.07.2009              ;00512,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1974              ;490813,00 - 168328,00
   01.01.1976              ;490771,00 - 168405,00
   01.01.1997              ;490813,00 - 168328,00
Exportzeitreihe:           ;(2001067,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1974 12:00,01.01.2022 00:00]
Werte:
12.01.2016 11:45:00; 0,181
06.02.2016 13:00:00; 0,522
24.03.2016 10:45:00; 0,413
22.04.2016 09:30:00; 0,269
26.05.2016 10:15:00; 0,765
05.06.2016 10:15:00;  1,26
20.07.2016 15:45:00;  1,17
06.08.2016 07:15:00; 0,946
28.09.2016 15:15:00; 0,750
24.10.2016 11:00:00; 0,181
01.11.2016 15:30:00; 0,070
27.12.2016 20:45:00; 0,595
05.01.2017 14:59:50; 0,207
05.02.2017 12:00:00; 0,211
27.03.2017 14:45:00; 0,211
11.04.2017 09:45:00; 0,186
29.05.2017 15:15:00; 0,485
01.06.2017 07:30:00; 0,305
23.07.2017 13:00:00; 0,343
06.08.2017 15:45:00; 0,305
09.09.2017 08:00:00; 0,605
31.10.2017 15:45:00; 0,239
26.11.2017 16:45:00; 0,239
03.12.2017 11:45:00; 0,674
19.01.2018 12:45:00;  1,20
28.02.2018 02:15:00; 0,485
08.03.2018 14:45:00; 0,750
11.04.2018 12:15:00;  2,34
31.05.2018 13:15:00;  1,40
27.06.2018 16:30:00;  1,84
20.07.2018 16:30:00; 0,386
10.08.2018 07:15:00; 0,433
27.09.2018 21:15:00;  1,10
25.10.2018 08:15:00; 0,239
19.11.2018 16:15:00;  1,20
28.12.2018 15:30:00; 0,895
13.01.2019 16:00:00; 0,691
25.02.2019 14:15:00; 0,433
20.03.2019 09:15:00; 0,674
06.04.2019 09:45:00; 0,371
23.05.2019 20:30:00;  1,37
