Messstelle:                ;Loipersbach
HZB-Nummer:                ;208785
HD-Nummer:                 ;no705
DBMS-Nummer:               ;3001103
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;716,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00345,50
   01.01.1977              ;00346,76
   01.01.1984              ;00347,00
   01.01.2002              ;00344,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;734242,60 - 286864,50
Exportzeitreihe:           ;(3001103,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1977 23:59:55,01.01.2022 00:00]
Werte:
14.04.2016 03:00:00; 0,000
01.05.2016 00:00:00; 0,000
19.06.2016 19:40:00;  1,14
11.07.2016 04:40:00; 0,575
04.08.2016 02:30:00; 0,160
04.09.2016 21:10:00; 0,000
01.10.2016 23:41:50; 0,000
02.11.2016 17:15:00; 0,045
16.12.2016 19:35:00; 0,033
06.01.2017 03:50:00; 0,000
01.02.2017 00:00:00; 0,000
09.03.2017 15:40:00;  2,69
17.04.2017 17:55:00;  1,87
31.05.2017 22:50:00;  2,29
17.06.2017 13:09:20; 0,000
01.07.2017 00:00:00; 0,000
01.08.2017 00:00:00; 0,000
01.09.2017 00:00:00; 0,000
01.10.2017 11:46:00; 0,000
17.11.2017 16:05:00; 0,335
10.12.2017 09:45:00; 0,014
18.01.2018 13:35:00; 0,673
25.02.2018 06:20:30; 0,000
01.03.2018 00:00:00; 0,000
29.04.2018 17:55:00; 0,762
31.05.2018 15:55:00; 0,003
01.06.2018 00:00:00; 0,003
31.07.2018 23:50:00; 0,005
17.08.2018 14:34:40; 0,000
20.09.2018 18:01:30; 0,000
01.10.2018 00:00:00; 0,000
01.11.2018 16:30:55; 0,000
18.12.2018 05:37:00; 0,000
30.01.2019 16:45:00; 0,150
01.02.2019 14:25:00; 0,258
28.03.2019 09:50:00;  3,03
19.04.2019 01:25:00;  2,76
08.05.2019 23:00:00;  4,90
30.06.2019 18:40:00; 0,040
01.07.2019 17:04:45; 0,000
26.08.2019 16:45:00; 0,005
16.09.2019 21:34:55; 0,000
01.10.2019 09:55:00; 0,010
28.11.2019 22:55:05; 0,000
01.12.2019 00:00:00; 0,000
01.01.2020 00:00:00; 0,000
01.02.2020 00:00:00; 0,000
28.03.2020 15:20:35; 0,000
01.04.2020 00:00:00; 0,000
01.05.2020 00:00:00; 0,000
01.06.2020 00:00:00; 0,000
08.07.2020 11:35:05; 0,000
01.08.2020 00:00:00; 0,000
24.09.2020 21:30:00; 0,102
29.10.2020 10:05:00;  2,08
26.11.2020 18:14:55; 0,000
08.12.2020 15:20:00; 0,036
02.01.2021 19:55:00; 0,042
15.02.2021 18:30:00; 0,160
14.03.2021 20:19:45; 0,000
09.04.2021 23:49:55; 0,000
31.05.2021 18:10:00; 0,032
11.06.2021 20:25:30; 0,000
01.07.2021 00:00:00; 0,000
15.08.2021 03:45:00; 0,024
19.09.2021 00:31:15; 0,000
04.10.2021 14:02:50; 0,000
08.11.2021 20:07:15; 0,000
08.12.2021 07:55:00; 0,009
